Female,Sweden,30,Data Scientist,,Bachelor's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,Canada,55,Other,,Bachelor's degree,Electrical Engineering,6 to 10 years,High school
Female,United States,48,Data Analyst,,Master's degree,A humanities discipline,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Nigeria,26,,,Bachelor's degree,A health science,I don't write code to analyze data,
Male,Belarus,29,Programmer,,Professional degree,,Less than a year,
Male,Brazil,58,Researcher,,Doctoral degree,Electrical Engineering,More than 10 years,Primary/elementary school
Male,Pakistan,19,Engineer,Python,Some college/university study without earning a bachelor's degree,Electrical Engineering,Less than a year,A bachelor's degree
Female,United States,26,Business Analyst,,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,High school
Male,United States,38,Other,,Doctoral degree,Other,6 to 10 years,A master's degree
Male,United States,30,,,Master's degree,,,
Female,Australia,30,Other,,Bachelor's degree,Mathematics or statistics,1 to 2 years,
Female,United States,33,Researcher,,Doctoral degree,"Information technology, networking, or system administration",1 to 2 years,A bachelor's degree
Male,United Kingdom,32,,,,,,
Female,Germany,34,,,Some college/university study without earning a bachelor's degree,Computer Science,,
Female,United States,14,,,I did not complete any formal education past high school,,,I don't know/not sure
Male,Canada,48,Predictive Modeler,R,Doctoral degree,,6 to 10 years,A professional degree
Male,United States,56,Other,,Doctoral degree,Physics,More than 10 years,
Male,India,27,,Python,Master's degree,Computer Science,Less than a year,A professional degree
Male,Poland,25,Data Miner,,Bachelor's degree,Mathematics or statistics,Less than a year,
Male,United States,24,Data Analyst,,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Female,United States,32,Statistician,SAS,Master's degree,,6 to 10 years,A bachelor's degree
A different identity,Other,98,,,,,,
Male,Australia,35,,,,,,
,,,,,Master's degree,,1 to 2 years,
Male,United States,21,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,26,,,,,,
Male,United States,18,Other,,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,United States,25,,,,,,
Female,Australia,27,Data Analyst,,Master's degree,Other,1 to 2 years,
Male,United States,29,Engineer,,Doctoral degree,Physics,6 to 10 years,High school
Male,Brazil,25,Programmer,,Master's degree,Computer Science,1 to 2 years,
Male,India,47,Researcher,R,Doctoral degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Female,Other,28,Scientist/Researcher,,I did not complete any formal education past high school,,3 to 5 years,
Male,United States,26,Researcher,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,India,35,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,,Data Scientist,,Master's degree,Mathematics or statistics,More than 10 years,
Female,Other,26,Researcher,Python,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,A bachelor's degree
Female,India,25,,Matlab,Bachelor's degree,Engineering (non-computer focused),,A doctoral degree
Male,United States,26,Business Analyst,,Master's degree,,1 to 2 years,A bachelor's degree
Male,India,24,,,,,,
Female,Japan,25,,,Master's degree,A social science,,
Male,United States,32,Data Scientist,,Doctoral degree,Engineering (non-computer focused),6 to 10 years,A master's degree
Male,India,29,Business Analyst,,Professional degree,,6 to 10 years,
Female,Australia,28,Other,,Master's degree,,1 to 2 years,
Male,Taiwan,24,Data Scientist,Python,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Male,United States,30,Machine Learning Engineer,,Doctoral degree,Other,,High school
Male,Belgium,53,Software Developer/Software Engineer,,Doctoral degree,Computer Science,More than 10 years,A master's degree
Male,United Kingdom,53,,,,,,
Male,Iran,30,Computer Scientist,,Master's degree,Mathematics or statistics,3 to 5 years,No education
Female,Singapore,39,Data Analyst,,Bachelor's degree,Other,I don't write code to analyze data,Primary/elementary school
Male,United Kingdom,39,,,,,,
Female,Australia,30,,,Some college/university study without earning a bachelor's degree,Biology,,
Male,India,20,,,Bachelor's degree,Computer Science,,A bachelor's degree
Male,India,27,Statistician,R,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,36,Software Developer/Software Engineer,,Master's degree,Computer Science,1 to 2 years,No education
Female,Russia,25,Programmer,Python,Professional degree,,1 to 2 years,A professional degree
Female,People 's Republic of China,21,,,,,,
Female,Pakistan,28,Computer Scientist,,Master's degree,Computer Science,1 to 2 years,High school
Male,Switzerland,27,Machine Learning Engineer,,Master's degree,Computer Science,3 to 5 years,A doctoral degree
Male,South Korea,25,Machine Learning Engineer,,Bachelor's degree,Computer Science,Less than a year,High school
Male,India,30,Data Scientist,,Master's degree,Mathematics or statistics,3 to 5 years,
Male,Ireland,36,Programmer,,Bachelor's degree,Engineering (non-computer focused),More than 10 years,"Some college/university study, no bachelor's degree"
Male,France,48,Other,,Doctoral degree,Physics,More than 10 years,A master's degree
Male,United States,59,Other,Python,Bachelor's degree,Management information systems,I don't write code to analyze data,A bachelor's degree
Male,India,28,,,,,,
Male,Hong Kong,23,,,,,,
Male,Iran,28,Data Scientist,,Doctoral degree,A health science,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,India,22,,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,High school
Female,United Kingdom,22,,Python,Master's degree,Computer Science,,A bachelor's degree
Male,United Kingdom,24,Data Scientist,,Master's degree,Engineering (non-computer focused),1 to 2 years,No education
Female,South Korea,25,,,Bachelor's degree,Computer Science,1 to 2 years,I prefer not to answer
Male,Finland,44,Computer Scientist,,Master's degree,Computer Science,More than 10 years,A master's degree
Male,India,30,,Matlab,Master's degree,Electrical Engineering,6 to 10 years,A master's degree
Male,India,40,Data Analyst,,Master's degree,Engineering (non-computer focused),1 to 2 years,A doctoral degree
Male,United States,25,,Python,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,Japan,32,Programmer,Python,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,India,20,,,Bachelor's degree,Other,I don't write code to analyze data,
Female,Iran,26,,,,,,
Female,India,23,Data Analyst,,Master's degree,Computer Science,Less than a year,I prefer not to answer
Male,United States,68,,,,,,
Male,Other,28,Machine Learning Engineer,,Doctoral degree,Mathematics or statistics,3 to 5 years,No education
Female,United Kingdom,35,,Python,Master's degree,Mathematics or statistics,I don't write code to analyze data,A bachelor's degree
Male,Greece,22,,,,,,
Female,United Kingdom,36,,,Master's degree,Other,I don't write code to analyze data,
Male,Hong Kong,22,Engineer,,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,India,26,Software Developer/Software Engineer,,Master's degree,Computer Science,I don't write code to analyze data,
Male,United States,52,Data Scientist,,Doctoral degree,Other,More than 10 years,A master's degree
Male,United States,36,Engineer,,Master's degree,A social science,3 to 5 years,A master's degree
Male,Brazil,26,Other,,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Male,United States,28,Software Developer/Software Engineer,,Master's degree,Computer Science,I don't write code to analyze data,
Male,Japan,41,Business Analyst,,Master's degree,Mathematics or statistics,3 to 5 years,
Male,Canada,35,Programmer,,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,62,Other,Matlab,Bachelor's degree,Computer Science,More than 10 years,High school
Male,United Kingdom,29,Data Analyst,,Bachelor's degree,Physics,3 to 5 years,
Male,United States,24,,,Bachelor's degree,Management information systems,1 to 2 years,
Male,Japan,33,Business Analyst,,Master's degree,A social science,6 to 10 years,A bachelor's degree
Male,United States,31,DBA/Database Engineer,,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,A bachelor's degree
Male,Mexico,32,Computer Scientist,,Doctoral degree,Computer Science,3 to 5 years,High school
Male,India,22,Data Scientist,,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,Brazil,29,Data Scientist,,Master's degree,Other,3 to 5 years,A bachelor's degree
Male,Russia,38,Software Developer/Software Engineer,,Master's degree,,,
Male,Mexico,31,Software Developer/Software Engineer,,Doctoral degree,Computer Science,1 to 2 years,Primary/elementary school
Female,United States,19,,R,I did not complete any formal education past high school,,Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,45,Software Developer/Software Engineer,,Master's degree,Electrical Engineering,1 to 2 years,
Male,Other,26,Software Developer/Software Engineer,Python,Bachelor's degree,Other,1 to 2 years,"Some college/university study, no bachelor's degree"
,United States,55,Data Scientist,,Doctoral degree,Physics,3 to 5 years,I prefer not to answer
Male,France,63,Statistician,,Doctoral degree,A humanities discipline,More than 10 years,I don't know/not sure
Male,India,31,Programmer,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,28,Computer Scientist,,Master's degree,"Information technology, networking, or system administration",1 to 2 years,A bachelor's degree
Male,Canada,51,Other,,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,A bachelor's degree
Female,Ukraine,29,,,,,,
Male,Switzerland,24,Software Developer/Software Engineer,Python,Master's degree,Electrical Engineering,Less than a year,A master's degree
Female,Other,25,Researcher,,Master's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,United Kingdom,41,Data Analyst,,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,France,39,Engineer,,Master's degree,Engineering (non-computer focused),More than 10 years,A master's degree
Male,United States,29,Machine Learning Engineer,,Doctoral degree,Computer Science,6 to 10 years,A master's degree
Male,Turkey,25,Business Analyst,,Bachelor's degree,Other,1 to 2 years,
Male,United States,29,Programmer,,Master's degree,Computer Science,1 to 2 years,
Male,India,22,Software Developer/Software Engineer,,Bachelor's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Female,United States,26,,,,,,
Female,Other,23,Predictive Modeler,,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Argentina,30,,Python,Bachelor's degree,Computer Science,,A master's degree
Male,Brazil,30,Data Scientist,,Bachelor's degree,Computer Science,6 to 10 years,High school
Female,United States,45,Data Analyst,,Bachelor's degree,Electrical Engineering,3 to 5 years,A doctoral degree
Female,Malaysia,49,Machine Learning Engineer,,Doctoral degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Female,India,19,,,Some college/university study without earning a bachelor's degree,Physics,,A master's degree
Male,India,34,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,High school
